127.0.0.1 - - [21/Apr/2017:13:18:29 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:44 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:55 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:20:01 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:20:01 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:20:09 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:20:16 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:13 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 13823
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:14 +0100] "GET /PlantPlacesYAP/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:21:46 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:02 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:14 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:15 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:16 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:16 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:31 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-hard_30_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "POST /PlantPlacesYAP/specimen.xhtml HTTP/1.1" 200 13833
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:22:32 +0100] "GET /PlantPlacesYAP/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
